# Zuordnung .RAW aus z.pac -> Klangdatei der Engine
# erzeugt von tools/cd/match.py; Grundlage ist bitgleicher
# Inhalt. Nicht von Hand aendern.
# dosname rate pfad
AANISHOT.RAW   11025 assets/sounds/AANISHOT.wav
ABRDSHOT.RAW   11025 assets/sounds/ABRDSHOT.wav
ANMLSHOT.RAW   11025 assets/sounds/ANMLSHOT.wav
BATCHIRP.RAW   11025 assets/sounds/BATCHIRP.wav
BEAST4.RAW     11025 assets/sounds/BEAST4.wav
BEAST6.RAW     11025 assets/sounds/BEAST6.wav
BEAST7.RAW     11025 assets/sounds/BEAST7.wav
BEEP1L.RAW     11025 assets/sounds/BEEP1L.wav
BEEP1R.RAW     11025 assets/sounds/BEEP1R.wav
BEEP3L.RAW     11025 assets/sounds/BEEP3L.wav
BEEP3R.RAW     11025 assets/sounds/BEEP3R.wav
BEEP4L.RAW     11025 assets/sounds/BEEP4L.wav
BEEP4R.RAW     11025 assets/sounds/BEEP4R.wav
BEEP5L.RAW     11025 assets/sounds/BEEP5L.wav
BEEP5R.RAW     11025 assets/sounds/BEEP5R.wav
BEEP6L.RAW     11025 assets/sounds/BEEP6L.wav
BEEP6R.RAW     11025 assets/sounds/BEEP6R.wav
BEEP7L.RAW     11025 assets/sounds/BEEP7L.wav
BEEP7R.RAW     11025 assets/sounds/BEEP7R.wav
BIRDSHOT.RAW   11025 assets/sounds/BIRDSHOT.wav
BUBBLE.RAW     11025 assets/sounds/BUBBLE.wav
BUBBLE2.RAW    11025 assets/sounds/BUBBLE2.wav
BUNNY2.RAW     11025 assets/sounds/BUNNY2.wav
BUNNY3.RAW     11025 assets/sounds/BUNNY3.wav
CANISHOT.RAW   11025 assets/sounds/CANISHOT.wav
CAPUCHIN.RAW   11025 assets/sounds/CAPUCHIN.wav
CBRDSHOT.RAW   11025 assets/sounds/CBRDSHOT.wav
CHIMP2.RAW     11025 assets/sounds/CHIMP2.wav
CLICK1L.RAW    11025 assets/sounds/CLICK1L.wav
CLICK1R.RAW    11025 assets/sounds/CLICK1R.wav
CLICK5L.RAW    11025 assets/sounds/CLICK5L.wav
CLICK5R.RAW    11025 assets/sounds/CLICK5R.wav
CLICK6L.RAW    11025 assets/sounds/CLICK6L.wav
CLICK6R.RAW    11025 assets/sounds/CLICK6R.wav
COMP01.RAW     11025 assets/sounds/COMP01.wav
COMP02.RAW     11025 assets/sounds/COMP02.wav
COMP03.RAW     11025 assets/sounds/COMP03.wav
COMP04.RAW     11025 assets/sounds/COMP04.wav
COMP05.RAW     11025 assets/sounds/COMP05.wav
COMP06.RAW     11025 assets/sounds/COMP06.wav
COMP07.RAW     11025 assets/sounds/COMP07.wav
COMP08.RAW     11025 assets/sounds/COMP08.wav
COMP09.RAW     11025 assets/sounds/COMP09.wav
COMP10.RAW     11025 assets/sounds/COMP10.wav
COMP11.RAW     11025 assets/sounds/COMP11.wav
COMP12.RAW     11025 assets/sounds/COMP12.wav
COMP13.RAW     11025 assets/sounds/COMP13.wav
COMP14.RAW     11025 assets/sounds/COMP14.wav
COMP15.RAW     11025 assets/sounds/COMP15.wav
COMP16.RAW     11025 assets/sounds/COMP16.wav
COMP18.RAW     11025 assets/sounds/COMP18.wav
COMP19.RAW     11025 assets/sounds/COMP19.wav
COMP20.RAW     11025 assets/sounds/COMP20.wav
CONNECTL.RAW   11025 assets/sounds/CONNECTL.wav
CONNECTR.RAW   11025 assets/sounds/CONNECTR.wav
CROCBITE.RAW   11025 assets/sounds/CROCBITE.wav
CROW2.RAW      11025 assets/sounds/CROW2.wav
DESBIRD.RAW    11025 assets/sounds/DESBIRD.wav
DISCOL.RAW     11025 assets/sounds/DISCOL.wav
DISCOR.RAW     11025 assets/sounds/DISCOR.wav
DRIP9.RAW      11025 assets/sounds/DRIP9.wav
DRIP9B.RAW     11025 assets/sounds/DRIP9B.wav
DRIP9C.RAW     11025 assets/sounds/DRIP9C.wav
DRIP9D.RAW     11025 assets/sounds/DRIP9D.wav
EXP1.RAW       11025 assets/sounds/EXP1.wav
EXP2.RAW       11025 assets/sounds/EXP2.wav
FLAMER.RAW     11025 assets/sounds/FLAMER.wav
GATTGUN.RAW    11025 assets/sounds/GATTGUN.wav
GRENADE.RAW    11025 assets/sounds/GRENADE.wav
GRENLOBX.RAW   11025 assets/sounds/GRENLOBX.wav
GYRO5.RAW      11025 assets/sounds/GYRO5.wav
H2OJET.RAW     11025 assets/sounds/H2OJET.wav
HBCRCKLP.RAW   11025 assets/sounds/HBCRCKLP.wav
HOWL.RAW       11025 assets/sounds/HOWL.wav
HTANKGUN.RAW   11025 assets/sounds/HTANKGUN.wav
